Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,ICMP Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708939487.0364041,2147483648,2058121216,1624735744,433385472,943759360,1326665728,163.361,37.325382232666016,23.60529613494873,1.7232542037963867
1708939504.8437762,2147483648,2058121216,1626484736,431636480,974958592,1315782656,44.0925,8.778095245361328,9.160105228424072,0.5420751571655273
1708939518.7304199,2147483648,2058121216,1626849280,431271936,990826496,1313685504,34.3525,1.3725757598876953,7.201404094696045,0.45975351333618164
1708939532.3537624,2147483648,2058121216,1630081024,428040192,1000349696,1310015488,33.6595,6.896495819091797,7.620331764221191,0.41547536849975586
1708939545.5932162,2147483648,2058121216,1625567232,432553984,1003368448,1309753344,32.7365,1.5434026718139648,7.522907733917236,0.4963808059692383
1708939563.504622,2147483648,2058121216,1629093888,429027328,1017511936,1309753344,29.516000000000002,7.242600123087565,7.8341827392578125,0.4674491882324219
1708939576.5209515,1610612736,2058121216,1627303936,430817280,1035329536,1308966912,32.1235,1.4312267303466797,7.4381279945373535,0.4779353141784668
1708939589.4901812,1610612736,2058121216,1628508160,429613056,1039339520,1308966912,32.083,2.5261640548706055,7.591334819793701,0.44168853759765625
1708939602.568117,1610612736,2058121216,1629609984,428511232,1041043456,1308704768,32.3915,0.986933708190918,7.920340538024902,0.44100332260131836
1708939617.2743325,1610612736,2058121216,1628270592,429850624,1066168320,1307656192,36.414500000000004,0.8211135864257812,8.322931289672852,0.49205589294433594
1708939634.7035928,1610612736,2058121216,1626619904,431501312,1085198336,1297170432,43.171499999999995,1.4536380767822266,13.109859943389893,0.5999488830566406
1708939649.6149752,1610612736,2058121216,1625350144,432771072,1113600000,1292189696,36.8565,3.0459165573120117,9.2157301902771,0.5339765548706055
1708939662.7283905,1610612736,2058121216,1626243072,431878144,1123389440,1286684672,32.437,4.677534103393555,8.807372570037842,0.44987058639526367
1708939675.9476624,1610612736,2058121216,1619005440,439115776,1154293760,1281966080,32.7195,0.7586479187011719,9.499216079711914,0.433199405670166
1708939689.5590599,1610612736,2058121216,1626042368,432078848,1160134656,1281703936,33.296499999999995,0.4297494888305664,7.688031196594238,0.5091743469238281
1708939704.8064053,1073741824,2058121216,1622536192,435585024,1053802496,1297215488,36.212,1.8848180770874023,11.209009647369385,0.4768853187561035
1708939722.2369804,1073741824,2058121216,1625260032,432861184,1073180672,1293545472,43.1625,2.7652978897094727,10.446059226989746,0.5336685180664062
1708939735.2180278,1073741824,2058121216,1629847552,428273664,1073479680,1292759040,32.082499999999996,4.761695861816406,8.14131498336792,0.4411182403564453
1708939750.2506053,1073741824,2058121216,1629114368,429006848,1073471488,1294659584,37.182500000000005,1.807093620300293,10.898299217224121,0.5109281539916992
1708939763.2957633,1073741824,2058121216,1625214976,432906240,1073590272,1295904768,32.2605,1.6573667526245117,9.593379020690918,0.47597360610961914
1708939777.39238,1073741824,2058121216,1627099136,431022080,1072971776,1295417344,34.856,0.469207763671875,8.324528217315674,0.48685407638549805
1708939790.2583358,1073741824,2058121216,1627955200,430166016,1073651712,1300615168,31.821,3.261089324951172,8.441308975219727,0.4537029266357422
1708939806.232415,1073741824,2058121216,1626046464,432074752,1073704960,1297903616,39.507999999999996,7.822990417480469,10.405819416046143,0.5465846061706543
1708939843.3313217,939524096,2058121216,1629966336,428154880,896585728,1382789120,89.015,2.69162654876709,11.02379560470581,0.5457143783569336
1708939879.2698028,939524096,2058121216,1616003072,442118144,782315520,1480040448,81.189,22.887349128723145,19.79869270324707,0.8253240585327148
1708939891.8438985,939524096,2058121216,1624870912,433250304,790032384,1478467584,30.448500000000003,8.2930326461792,7.937749862670898,0.3779621124267578
1708939907.4804044,939524096,2058121216,1627951104,430170112,803549184,1474011136,38.652,0.4546642303466797,10.68370246887207,0.5076398849487305
1708939921.0730631,939524096,2058121216,1624879104,433242112,831205376,1470865408,33.590999999999994,1.229405403137207,8.973716735839844,0.5007953643798828
1708939935.1480272,939524096,2058121216,1623814144,434307072,837017600,1468768256,34.8315,0.8357763290405273,8.551696300506592,0.47159624099731445
1708939948.5068107,939524096,2058121216,1627000832,431120384,861028352,1463263232,33.0985,2.1796226501464844,9.869624614715576,0.4105253219604492
1708939962.6487825,939524096,2058121216,1627344896,430776320,877248512,1459855360,34.957499999999996,2.2145509719848633,10.263948917388916,0.4459991455078125
1708939975.8224645,939524096,2058121216,1628127232,429993984,885481472,1455136768,32.558,2.0024776458740234,9.3914794921875,0.44975900650024414
1708939993.0989487,939524096,2058121216,1624215552,433905664,928247808,1448058880,42.745999999999995,4.510760307312012,12.864601135253906,0.5856804847717285
1708940058.6819031,671088640,2058121216,1626611712,431509504,428937216,1755480064,325.358,35.576581954956055,13.475667953491211,1.1299762725830078
1708940072.1558013,671088640,2058121216,1626124288,431996928,455061504,1744207872,64.645,3.7419795989990234,13.603473663330078,0.7652454376220703
1708940088.0799756,671088640,2058121216,1626705920,431415296,470085632,1736867840,39.45399999999999,2.4275779724121094,10.057824611663818,0.48404502868652344
1708940105.1847908,671088640,2058121216,1628184576,429936640,500105216,1729527808,42.075,1.8208026885986328,12.414156436920166,0.5462560653686523
1708940122.9430337,671088640,2058121216,1627709440,430411776,516825088,1722712064,43.935,1.1332035064697266,12.40278959274292,0.5631847381591797
1708940141.2230742,671088640,2058121216,1630568448,427552768,535236608,1720877056,30.097333333333335,1.2499491373697917,7.981125831604004,0.4155311584472656
1708940160.8522022,671088640,2058121216,1625919488,432201728,579125248,1707507712,48.43,2.1255016326904297,13.499098300933838,0.604853630065918
1708940174.393135,671088640,2058121216,1627152384,430968832,585883648,1703051264,33.463,1.9450187683105469,8.401392459869385,0.4503040313720703
